流水號,主編號,屬性,又音
2,43,又唸作,tsi̍t-táu-kú-á
3,72,又唸作,tsa̍p-jī-tsí-tn̂g/tsa̍p-lī-tsí-tn̂g
4,76,又唸作,tshit-si̍k
5,81,又唸作,tiau-kang
6,123,又唸作,thiau-tî
7,124,又唸作,thiau-kòo-ì
8,129,又唸作,jîn-guân/lîn-guân
9,141,又唸作,jîn-sam/lîn-sam
10,141,又唸作,jîn-som/lîn-som
11,160,又唸作,ji̍p-ha̍k/li̍p-ha̍k
12,167,又唸作,tiau-lân
13,168,又唸作,jîn-kuân/lîn-kuân
14,184,又唸作,ā
15,187,又唸作,hān
16,232,又唸作,siāng-kú
17,252,又唸作,siáu-thiúnn-á
18,263,又唸作,thóo-ba̍k
19,287,又唸作,siāng-ke
20,307,俗唸作,kiú-ióng
21,314,又唸作,siāng hó
22,315,又唸作,ā-hó
23,317,又唸作,Thóo-lī-kong
24,354,又唸作,siáu-jî-kho/siáu-lî-kho
25,359,又唸作,tuā-tsé
26,372,又唸作,ē-hng
27,372,又唸作,enn-hng
28,372,合音唸作,i̋ng
29,374,又唸作,enn-hng-àm
30,374,合音唸作,ing-àm
31,381,又唸作,tshiūnn-tshenn-tî/tshiūnn-tshinn-tî
32,393,又唸作,ā-sī
33,439,又唸作,e-tàu
34,439,又唸作,ēnn-tàu
35,440,又唸作,e-poo
36,456,又唸作,kan-tann
37,456,又唸作,kan-ta
38,459,又唸作,kang-thîng
39,460,又唸作,kang-thîng-su
40,464,又唸作,thóo-pa̍t-á
41,470,又唸作,suann-sì
42,472,又唸作,enn-àm
43,484,又唸作,tuā-bak-tóo
44,507,又唸作,siāng kín
45,510,又唸作,siāng-kài
46,511,又唸作,siáu-suat
47,535,又唸作,ē-huâi
48,536,又唸作,tuā-o̍h
49,537,又唸作,sió-o̍h
50,544,又唸作,siāng-thâu-á
51,545,又唸作,tuā-thâu-bó
52,551,又唸作,siāng tsē/siāng tsuē
53,552,又唸作,tsiūnn-siann
54,552,又唸作,siōng-siann
55,559,又唸作,ē-khok
56,559,又唸作,ē-gok
57,623,又唸作,lāi-sim
58,637,合音唸作,ta̋nn
59,645,又唸作,kang-bú
60,652,合音唸作,hoo
61,685,又唸作,lāi-tsìng
62,705,又唸作,lāi-iông
