華語,詞條編號,詞條名稱
一,182,么
一,2,一
一,1,一
一,4,一下
一下,4,一下
一下子,33,一睏仔
一下子,43,一觸久仔
一下子,39,一霎仔久
一世,9,一世人
一乾二淨,12767,離離
一些,36,一寡
一些,10471,寡
一些些,37,一寡仔
一來,19,一來
一個人,8301,單跤手
一個月,861,月日
一個月,2473,成月日
一個月,6,一月日
一共,12296,總計
一共,12292,總共
一再,50651,一再
一刀兩斷,3,一刀兩斷
一切,50080,一切
一半,10,一半
一口氣,33,一睏仔
一向,50332,一向
一團糟,12318,糜糜卯卯
一坨屎,25,一垺屎
一塊兒,6971,做伙
一塊半,10735,箍半
一夜情,53917,一夜情
一大堆,53915,一大堆
一天到晚,7,一日到暗
一定,9985,萬萬
一定,20,一定
一定,1636,包穩
一定,1788,必然
一定,3868,定著
一定,8910,絕對
一定,12840,穩
一定,12861,穩當
一家子,27,一家伙仔
一對一,6851,釘孤枝
一帶,3490,角勢
一年到頭,7883,規年迵天
一律,34,一概
一律,22,一律
一心,7877,規心
一心,2147,同心
一心一意,53916,一心一意
一整年,7951,透年
一日,51021,一日
一旦,14,一旦
一時,50866,一時
一時之間,6071,時間
一時疏忽,1839,失覺察
一時間,9299,雄雄
一會兒,12040,隨後
一會兒,33,一睏仔
一會兒,43,一觸久仔
一望無垠,12473,闊莽莽
一望無垠,12478,闊閬閬
一概,34,一概
一模一樣,52905,一模一樣
一樣,13624,𫝛
一樣,13630,𫝛款
一段時間,1542,半晡
一流,31,一粒一
一流,51602,一流
一無所知,8619,無半項
一無所知,8616,無半步
一無是處,8619,無半項
一無用處,8620,無半撇
一無用處,8616,無半步
一片,50760,一片
一生,15,一生
一生,7880,規世人
一生,7944,透世人
一生,9,一世人
一甲子,17,一甲子
一百二十,2622,百二
一百零一,18,一百空一
一直,21,一直
一直,4409,直透
一直,4405,直直
一直都是,12294,總是
一眨眼,16,一目𥍉仔
一瞬間,16,一目𥍉仔
一瞬間,39,一霎仔久
一知半解,1543,半桶屎
一竅不通,8620,無半撇
一竅不通,8616,無半步
一致,23,一致
一般,28,一般
一貫,50807,一貫
一起,3539,佮
